864g 588g 684g 49% 378C
74% 11% 13% 312C 0%
-
77% 13% 294C 148g 1%
130g 658g 52% 748g 641g
59% 32% 726C 4% 624g
176C 427g 508C 85% 5%
79% 404g 18% 1% 1%
747g 210C 750g 365C 196C
94% 2% 403C 948C 0%
29% 44% 281g 90g 101C
276C 585g 90% 5% 550C
349C 49g 871g 401C 44%
459C 409g 60% 801g 676C
386C 455C 144C 658C 5%
43% 206C 752C 448C 248C
371C 219g 628C 175g 333C
85% 509C 3% 238C 4%
15% 21% 164C 34% 759C
58C 9% 263C 860g 319C
95% 265C 497C 509g 715g
782C 953C 855g 889g 83g
11g 130C 122C 161g 185C
527C 837g 36C 6% 83%
330C 555C 839g 6% 571g
728g 682C 854C 4% 82%
848g 73% 19% 4% 2%
193C 701g 277g 62% 620C
24% 15g 559C 410C 237C
657C 65% 123g 744g 48g
46% 695g 342C 940g 47%
990C 261C 237g 79% 335g
547g 606C 675C 545C 29%
473g 539g 75% 493C 14%
231C 84% 139g 664g 13%
591g 96% 786C 3% 142g
28% 188C 489C 66% 2%
887C 974g 610g 198C 89%
978C 292C 30g 398C 13%
221g 13% 262g 976g 388C
57% 628C 6% 25% 864g
69% 371g 518g 296g 62g
61% 504C 749g 76g 782g
40% 93g 822g 26% 43g
362C 865C 78% 8% 10%
37% 56% 188g 0% 714C
33% 584g 574C 23g 582g
755C 331C 82% 356C 536g
121C 73% 23% 2% 330g
26% 55% 9% 221C 730g
788g 0% 106C 80% 704g
822C 194g 835g 61C 546g
98% 0% 887g 968C 926C
264C 36% 25% 10% 808C
38% 81C 329C 450C 453C
85% 13% 26C 252g 121g
96% 0% 454C 926g 251C
61% 68g 674g 314g 38%
473C 823C 674g 259C 47%
9% 470C 228C 60% 930C
241g 627C 885g 60g 778g
318g 78% 850g 15% 131g
194C 891g 45% 941g 626g
322C 62C 30% 604C 498g
90% 986C 15C 5% 649C
657C 48% 861g 372g 530C
26C 18% 507g 70% 338C
197C 759C 154C 71% 837C
688C 569C 747g 634C 584C
69% 370g 51C 436g 19%
381C 8% 9% 20% 793g
873C 3% 470g 224g 85%
-
42% 991g 174g 467C 12%
99% 554g 283C 0% 813C
657g 571C 765C 676g 46%
843g 60% 571g 759g 4%
984C 881C 47C 910g 0%
27% 370g 408g 375g 357g
921C 13% 83% 721g 2%
521g 381C 652C 271g 639C
38% 28% 816g 26% 77g
764g 757C 32% 22% 993C
831g 751C 20% 992g 318g
166C 750C 17% 39C 0%
18g 66% 11% 270C 356g
12% 9% 751C 220g 63%
728g 847g 10% 397g 9%
417C 87% 474g 639C 619C
360C 535g 500C 943g 34%
10% 801C 941C 43% 20%
198C 1% 370g 533g 572C
357C 89% 773g 882g 761g
358C 431g 33% 4% 415C
513g 74% 13% 342g 1%
93% 550C 6% 575g 0%
62% 34% 1% 118C 507g
479C 499C 239C 2% 294g
199g 375C 74% 424g 479C
142g 623C 88% 3% 777g
192g 787C 162C 849C 959C
724g 83% 907g 8% 412C
853g 62% 35% 65C 2%
31% 23% 348C 597g 829C
40% 715g 356C 434g 47%
65% 22% 988C 134C 3%
48% 8% 936g 12% 97C
443g 398g 66% 5% 28%
50% 656C 901g 20% 403g
931C 71% 23% 384g 4%
61% 623C 699C 38% 293C
29% 338g 250C 983g 275g
24C 89% 4% 6% 460g
259C 742g 32% 476C 331C
120g 65% 350C 50g 437C
71% 11% 760g 905g 406g
21% 742g 29% 10g 27%
849C 5% 13% 133g 93g
687C 735g 330C 2% 63C
305C 25% 28% 22% 6%
808C 253g 371C 273C 223g
26% 236g 56% 9C 153C
99% 961C 0% 0% 829g
40% 0% 207C 559g 448C
551C 45g 388g 53% 373g
25% 669C 28% 553C 868g
26% 44% 306C 889C 468g
1C 64% 159C 628C 29%
75C 26% 417g 976C 37%
58% 15% 815C 770g 681g
46% 961g 81g 8% 337g
63C 1% 509C 372g 746g
34C 384C 290g 655C 608g
354g 71% 13% 12% 1%
-
928g 6C 103C 94% 175C
976C 794C 974g 174C 305g
93% 586g 27g 549g 255g
66% 973C 705C 854g 722g
361g 361g 569g 204g 74g
11% 873g 43% 27% 614g
560g 782C 6% 666C 439g
342C 438C 659g 91% 455C
26% 336g 367C 852g 34%
605C 852g 948g 579g 22%
2g 171C 21% 73% 1%
34% 35% 372g 591g 15%
96% 3% 852g 558C 0%
802C 497C 863C 509C 987C
78% 329g 895g 12% 982g
579C 172g 330C 86% 456C
421C 23% 936g 11% 0%
1% 105C 291g 88g 191C
256g 1% 857g 58% 372g
900g 871g 767C 14% 605C
92C 4C 641C 550g 844g
52% 863C 232C 436g 417g
650g 57% 15% 682g 685g
979C 246C 327g 984g 969g
70% 632g 16% 11% 902g
727g 697C 426g 62% 348g
48% 329g 16g 234C 238g
180C 29g 747g 28% 71%
38% 835C 839g 976g 722g
201g 57% 31% 539g 725g
959C 339C 421C 148C 796C
84g 626g 321C 532C 467g
974C 76g 550C 408g 48%
868C 42% 7% 997C 669C
323C 31g 24C 767g 649C
163C 6% 63% 14% 246C
905g 95% 25g 2% 1%
519g 641g 20% 902g 222C
225C 880C 976C 987C 311C
649g 4% 217g 12% 68%
973C 61g 226C 280C 924g
85% 6% 4% 860C 84g
258C 741g 531C 796C 746C
266C 629C 686C 965C 688g
524C 39g 42C 386g 95%
427g 205C 20% 70% 863C
769C 0g 512g 958C 356g
367C 24% 699C 481g 69%
908g 34% 372C 553C 37%
483g 249g 43% 521C 22%
99% 461C 68C 142C 597g
131C 68% 971C 972C 995C
93% 587C 1% 3% 783C
63% 559g 31% 0% 529C
716C 91% 1% 0% 340g
745g 49g 28% 23% 548g
786C 37% 58% 4% 0%
13% 514g 448g 519g 6%
596C 493g 24% 12% 911g
645C 576C 746C 479C 995g
924C 740g 65% 35g 565C
644C 69% 512g 17% 288C
837g 26% 7% 182g 31%
927C 90g 410g 560C 843C
76g 639C 28% 63% 728g
20g 13% 331g 171C 81%
95% 4% 433C 544C 342g
119g 227g 64% 262C 802C
86% 907g 2% 486C 4%
12% 387C 336C 142g 166g
20% 255C 747C 106g 278g
3% 436C 84% 202C 107C
32% 510C 33% 92C 431C
501g 247C 602g 80% 8%
673C 327g 74% 323g 608g
39% 354C 57% 999C 188g
114C 185C 797g 7% 552C
-
225g 467g 5% 362C 19%
25% 852g 28g 25% 16%
998g 245C 2% 419g 289g
20% 717g 553C 207C 49%
765C 948C 212g 45% 41%
197g 218C 923C 180g 5%
232g 35% 916g 925g 509C
807g 372C 244g 36% 73g
203g 860g 66C 394g 81%
419g 676g 16% 347g 69C
79% 14% 1% 387g 20C
421C 83% 997g 3% 99C
491C 716C 625C 112C 777C
885C 58g 659C 51% 1%
59% 27% 12% 0% 839C
-
330C 712g 743g 14% 626C
4% 906g 94% 879C 0%
4% 206C 681C 42% 493g
23% 35% 26C 284g 426g
188C 746C 11% 98g 485g
98% 1% 988g 0% 0%
328C 327g 48% 895C 42%
196C 757C 33% 534g 611C
752C 609C 65% 22% 1%
27% 595C 53g 960g 881g
974C 944g 371g 300g 461C
277g 73% 694C 12% 214g
321g 837C 747g 13% 26%
417C 823C 600C 691g 803C
16% 49% 27% 3% 351C
237C 90% 293C 668g 197C
552g 79% 329g 18% 284g
73% 510g 24% 2% 0%
922C 30% 409C 3% 58%
40% 47% 114g 751g 317C
16% 36% 20% 212C 3%
96% 294C 846g 154C 133g
2% 6% 845g 10% 580C
632g 29% 28% 11% 304C
302C 847C 31% 25% 47C
25% 39% 723C 292C 29%
80% 325C 863g 26g 447C
84% 12% 51g 1% 2%
46% 278g 4% 919g 44%
803g 667g 35% 584g 152C
197C 486C 223C 4% 73%
82% 244C 654C 914C 1%
902C 35% 8% 451g 636g
714C 95% 0% 89g 672C
288g 229C 866C 63g 161C
93g 437g 633g 554g 161g
744C 728g 75g 58% 778C
902g 36% 951g 719g 439C
890C 943g 316g 511C 365g
766g 899g 48% 97g 842C
789C 646g 579C 85% 667C
78% 861g 237C 50C 18%
772C 876C 13g 349g 836C
90% 991C 207g 5% 1%
721g 861C 226g 111g 199C
96% 30C 347C 101g 506g
944C 915C 532C 859g 867C
-
88% 6% 0% 633g 5%
787C 528g 656C 865g 77C
650g 17% 157C 149C 48%
151C 118C 69% 0% 623C
52% 565C 526C 751C 279g
193g 806g 71% 455C 346C
654C 161g 36% 708g 836g
16% 446g 20g 35% 13%
305C 68% 20% 7% 264g
197g 328C 394C 744C 271C
787C 21% 621C 70% 565C
15% 294C 26% 128g 205g
47% 49% 0% 991C 864C
141g 454g 589g 355C 404g
32% 143g 63% 4% 351g
80% 309C 678C 4% 6%
636g 172C 93C 518C 316g
370g 98% 28g 47C 193g
636g 100C 968C 776g 52%
93% 994g 231C 79g 3%
728g 597C 76% 484g 58g
25% 102g 345g 856C 46g
287g 148C 158C 721C 834g
337C 572C 41% 263g 275g
54% 721C 977C 730C 891C
193g 968g 164C 74C 20%
198g 174C 44% 522g 44C
33% 49C 206g 824C 212g
65% 246C 100C 216C 2%
786C 393g 320C 180C 49%
992C 827C 41% 46% 322C
85% 95g 124g 793g 11%
-
859C 722C 661g 703g 64%
48% 459g 0% 14g 518C
194C 46% 734C 722g 66C
7% 68% 448g 44C 373C
84% 4% 815g 439g 961C
84% 567g 85g 27g 432g
674C 370C 720g 752C 22%
25% 51C 701C 14% 751g
803C 411C 69% 728g 656C
41% 51g 565g 5% 591g
795g 462C 54% 16% 9g
947g 154g 886C 206C 871g
26% 48% 227g 2% 13%
264g 65% 126C 595g 215C
61g 472g 224g 390g 325g
998C 77% 9% 711C 12%
989g 476g 60% 878C 8%
15% 960g 124C 597g 74%
127C 78g 17% 660C 80%
529C 558C 852g 960g 77%
176C 70% 831g 24C 61g
3% 365g 96% 248g 0%
135C 902g 3% 14% 837g
977C 236C 53% 25% 847g
26% 901g 683g 44% 908C
336C 96g 792C 345g 19%
551C 900g 496g 558g 984g
154C 956C 53% 306g 923g
782g 14% 202C 78% 6%
434C 750C 57C 441g 92%
21g 87% 602g 322g 0%
827C 209C 141g 599g 10%
681C 883C 432C 381g 907C
650g 20% 611C 9% 887g
82% 969g 559C 502g 490g
24% 262g 954g 299g 919C
8% 488C 14% 408g 46%
597C 362g 710C 381g 432C
29% 394C 916C 23% 35g
775g 81% 628C 714C 731C
684g 68% 247C 671g 695g
203g 365g 20% 649g 849g
522C 531C 239g 647C 48%
755C 58C 982C 658C 37%
462C 482g 789C 460g 815g
474g 638g 93% 0% 0%
170C 3% 38% 886C 991g
35% 716C 632g 971g 11%
107C 76% 480C 15% 1%
121g 6% 459g 461g 858g
21% 610C 63% 2% 12%
872g 65% 25% 969C 8%
83g 909C 993g 970g 418C
11% 222g 62% 465g 70C
517g 300C 94% 479C 412g
993g 96C 36% 974g 32%
587C 83% 433C 3% 386C
755C 861C 37% 248g 170C
44% 28% 417C 934g 11%
136C 393C 451C 83% 0%
16% 176C 36% 937C 34C
53% 623C 922C 5% 136C
90% 650g 497g 667C 0%
306C 985C 295C 700g 770C
692C 164C 84% 3% 4%
2C 821g 877C 54% 350C
93% 722C 491g 3% 954C
629C 6C 313g 583C 985g
569C 20% 32% 60C 394C
255g 419C 69g 700C 157g
713C 5g 31% 62C 43g
97C 87% 7% 0% 478C
825C 403C 416g 10% 507C
74% 17% 291g 502g 654C
105C 510C 172C 576g 79%
107C 92% 404C 40g 0%
333C 119g 86% 626g 468g
138C 84% 770C 216C 703C
5% 13% 26g 24% 55%
965C 493C 48% 846g 824C
807g 241g 14% 11% 37%
378g 70% 820C 93C 4%
321C 29% 515C 750C 64%
676C 89% 606g 5% 87g
17% 566C 851C 70% 769C
768C 80% 0% 19% 408C
38% 999g 28% 9% 368C
90C 988g 76% 747g 488C
664g 310C 558g 243C 333g
173g 40% 851g 23% 19%
5% 192g 51% 28% 683g
56% 85g 247g 13% 585C
-
110C 86% 401g 0% 7%
792C 513C 954C 226g 68%
599g 40% 966g 30% 73C
2% 835g 171C 725g 275C
15% 32% 9g 166g 10%
290C 906g 34% 271C 19%
881C 31% 55% 8g 396g
404C 4% 243g 88% 301C
96% 826g 374C 726g 1%
341C 742C 263C 327g 17%
55% 786g 895C 43% 791C
902C 217C 593C 445g 89%
431C 48% 504g 39% 5%
7% 21% 62% 427C 974C
901g 662C 9% 62C 280C
160C 583C 37% 272C 622C
42% 745C 927C 43% 322C
629C 814g 94% 4% 229C
408C 595g 502g 782g 614C
181g 86% 337C 326C 920g
34% 64% 193C 0% 26g
329g 499g 778g 58% 127g
18% 384g 49% 818g 7%
69% 991C 13% 815g 982C
191g 981g 589C 44% 16%
775g 84% 947C 584C 796C
559g 17% 663g 87C 26%
25% 86g 902g 117C 24%
23% 44% 660C 21% 252g
553g 1% 66g 301g 26%
927g 77% 9% 10% 2%
942C 67% 28% 4% 523C
383g 682g 200g 250g 254g
471g 71% 899g 679C 950g
58% 211C 672g 605g 472C
5% 94% 341C 888g 667g
41% 28g 18% 9% 218g
79% 657C 954g 815C 6%
743C 96% 865g 818C 132C
248g 23% 289C 555C 883C
219C 2% 9% 910C 7%
909C 256C 72% 946g 227g
76% 407C 456C 765C 23%
138C 62g 3% 601C 489C
96g 991C 59% 178C 38%
87% 585C 33C 11% 406C
798g 619g 788C 433C 489C
666C 24g 90% 73C 392C
577C 61% 24% 4% 245g
968g 563C 608C 214g 797g
315C 641g 824C 926g 455C
28% 25% 3% 16% 101g
75% 128C 361C 21% 778C
983g 58% 137g 611g 484g
734g 98% 0% 0% 806g
431g 937C 24C 96% 930g
65C 73% 889C 62g 426g
566g 62% 897g 14g 270C
79% 455C 18% 119g 654C
688g 14% 547g 64% 55C
507g 863C 990C 146g 776C
177C 18% 424C 816C 992C
297C 541C 594g 67% 401C
21% 548g 482C 29% 543g
96% 0% 1% 1% 1%
43% 975g 28% 29g 440g
13C 691C 49% 32% 13%
27C 67C 120g 421C 97%
363g 84% 929g 260C 93g
40% 65C 19C 308C 569g
818C 419C 60% 362C 0%
11% 52C 86% 0% 939C
26% 24% 13% 258C 301C
289C 127g 9% 247g 821g
-
85% 484C 11% 0% 1%
499g 46% 605g 501g 28g
370g 7% 74% 678C 14%
417g 122C 39% 14% 3%
819C 75% 936C 92g 13%
821C 73% 23% 228g 168C
135C 703g 543C 31% 65%
501g 22% 19% 160g 33%
-
474g 800g 175g 683C 54%
855g 388C 687g 48% 8%
508g 52% 970g 196C 715g
855C 81g 96% 342g 0%
17% 11% 57% 7% 739g
779C 14% 37% 746g 713C
604g 355g 28% 6% 736g
818g 158g 262g 243C 962C
12% 581g 73C 82% 399C
633C 900g 392C 693g 98g
661C 586g 131C 979g 55%
8% 35g 697C 209C 83%
91% 315C 606g 671g 98C
784C 90% 931C 570C 600C
908g 397g 2% 755g 707g
472C 3g 494g 51% 964C
639g 113C 470C 254C 11C
971g 515g 14% 815C 24%
59% 525g 348C 24% 536g
253C 93% 0% 0% 9C
69% 6% 52g 757C 988C
94% 646g 463C 990C 246C
84% 14% 570C 646g 182g
868C 339g 40% 37% 611C
39g 674g 677C 32% 328g
251g 482C 95% 28C 442g
0% 466g 33% 52% 207C
896g 56C 285C 59% 37%
652g 657g 718C 538C 845C
661C 644g 88C 437C 547g
120C 43% 718g 262g 902C
870g 28% 40g 11% 52%
263C 77% 1% 888C 11%
22% 584C 688g 44% 6%
374g 58% 533g 30% 832g
344C 562g 355g 38% 24%
84% 10% 3% 622g 0%
473C 13% 865C 18% 963g
173g 14% 59% 738C 117C
54g 668C 21% 378C 3%
203g 26% 218C 23% 32%
21% 891C 125C 57% 20%
481C 480C 102g 393g 449C
196C 388g 73% 20% 62C
19% 225g 69% 11% 918C
358g 98% 1% 844C 781C
800g 50% 5% 499C 511g
462g 796C 697C 390C 399C
80% 19% 0% 130C 0%
142C 594C 355C 67% 526C
15% 613C 28g 231g 799g
430g 92C 909C 6% 241g
656C 35% 527g 501C 896g
925g 368C 227g 201C 71%
44% 432g 144g 46% 438C
23% 22% 344g 3% 5%
24% 165g 4g 58% 554C
559C 867g 88% 389g 366C
49% 13% 8% 755g 12%
60% 58C 0% 22% 620C
91% 75g 3% 474C 337g
44% 786C 51% 335g 0C
854C 84% 990g 327C 2%
40% 479g 797g 683C 22%
68% 4% 836g 24% 678C
20% 161g 5% 273C 315g
71C 754C 176g 960C 526g
584C 753C 0C 316C 464C
146g 26% 942g 55% 447g
283C 334g 125C 40% 722C
21% 161C 855C 768g 411C
165g 369g 64% 23% 879C
54% 389g 200C 23% 601g
-
22% 121C 4% 268C 8%
274g 222C 171C 37C 117C
705C 945g 831g 248C 413C
635C 53g 87% 1% 5%
709C 448C 45g 169g 19%
90% 918g 421C 99C 777C
43% 11% 521g 740g 394g
110C 16% 739g 179g 12%
99% 0% 677g 622C 317g
640C 165g 409g 30% 57%
990C 332C 29C 173C 83%
62% 612g 27% 6% 418C
830C 818C 2g 385g 729C
8% 83% 630g 5% 0%
377C 381C 10% 20% 55%
254C 811C 92g 300C 945g
574g 52% 998g 737g 238g
560C 367g 956g 131C 427C
339g 143g 106g 963C 64g
139C 66% 132g 26% 677g
819g 232C 884C 68% 480C
65% 14% 322C 143g 193g
898C 2% 275C 732C 25%
919C 351C 967g 44C 602g
483g 48% 627C 39% 7g
34% 8% 73C 323g 46%
19% 50% 6% 8% 868C
1% 532C 32% 46% 15%
8% 488C 84% 785C 71g
212g 64% 29% 310g 0%
283g 234C 172g 75% 219C
275C 277C 512g 77% 513C
88% 91C 3C 9% 175C
44% 589g 274g 181g 806C
562C 32% 844g 425C 98C
623g 16% 591g 419C 685g
6% 59% 960C 210C 985C
598g 449C 91% 4% 2%
7% 315g 209C 90% 2%
926C 14% 42% 716g 272g
82C 249C 52C 77% 209C
411C 839C 544C 688C 28C
28g 294g 38% 17% 865C
56g 63% 8% 998C 150g
705g 280g 43% 944g 620g
69% 9% 143C 714g 271g
258g 232C 85% 4% 6%
247g 204g 729g 704g 930C
349g 25% 467g 896g 885C
465g 199C 18% 9% 224g
251g 74g 99% 707C 0%
732g 89% 508g 8% 189C
77% 963g 9% 13% 0%
14% 60C 799g 991C 820C
496C 700C 314g 45% 966C
715C 945g 71g 12% 51%
377g 97% 0% 202C 907g
97% 0% 144g 659g 840g
128C 220C 87% 427C 432C
5% 349g 1% 45% 457C
79% 10% 657C 102g 304g
941C 203C 858g 804C 893g
292C 398g 53% 873g 11%
19% 889g 244C 305C 862C
94% 746g 0% 691g 241C
61g 35% 527g 161g 596g
83% 454g 0% 11% 750g
28% 25% 7% 22% 0%
272C 62% 37% 647C 0%
488C 412g 49% 994g 489C
858C 40% 596g 8g 173C
954C 539C 5% 206g 267C
448C 925g 98% 0% 599C
-
809g 980C 293C 16% 66%
26% 12% 61% 952C 0%
350g 29% 122g 249g 707C
307g 473g 424C 809g 38%
56% 291g 26% 7% 7%
967g 95% 154C 5C 35C
532C 80% 14% 124g 400C
646C 130C 767g 278C 159g
98g 12% 40% 714g 22%
149g 796C 16% 41% 977C
254g 998C 265C 228C 39%
16% 219g 186g 500C 32g
54% 485g 34% 8% 193g
592g 288g 535g 59g 802C
55% 20% 1% 373C 379g
178C 938C 87% 116g 307g
36% 108C 194g 7% 28%
205C 803g 40C 76% 6%
71% 793C 11% 366g 16%
880g 926g 70% 983C 16%
786C 8% 781g 16% 14%
817C 195C 852g 696C 222g
244C 597g 795g 643g 20%
225C 653C 0% 385C 543g
655C 642g 76% 206C 64C
428C 883C 831g 45% 7%
96% 0% 24C 635C 273g
13g 243C 35% 51% 13%
470C 27% 154g 54% 237C
565C 89% 634g 8% 127C
799C 72% 24% 2% 501g
71% 790C 380C 27% 843g
719C 83% 403g 426g 890g
13% 8% 436g 42% 251g
17% 20C 7% 851C 222C
36% 31% 2C 740g 332g
334C 72% 22% 4% 211g
76C 57% 235C 201g 469g
485g 17% 777C 855C 852C
48% 44% 271C 0% 544C
136C 820g 773g 727g 198g
2% 502C 328g 242C 148C
22% 986g 116g 872g 863g
89% 93C 3% 821C 0%
72% 55g 9% 357g 918C
55% 802g 33% 2% 20g
91% 6% 322C 0% 942g
868C 41% 893C 659C 366C
108C 922C 366C 886g 895C
139C 67% 722g 6% 337C
270g 87% 481g 770g 2%
421g 62% 458g 20g 27%
250C 5% 553C 610C 355C
52g 153C 441g 71C 478g
51C 0% 947g 846g 154g
586g 844g 525C 70% 28%
436C 403C 19% 576C 65%
300g 6% 928C 39% 925g
77% 78C 4% 170g 91g
503C 79% 469g 17% 245g
803C 24% 550g 68g 78C
86% 209C 3% 3% 591C
850g 43C 353C 33% 613g
21g 128C 230g 49% 45%
996C 86% 198g 6% 167g
33% 47% 19% 692g 324C
115C 74C 742g 625g 55%
574g 805g 60% 8% 977C
296C 113C 591C 73% 249C
941g 295C 311C 24C 833C
12C 634g 21% 3% 37%
45% 265C 534g 974C 845C
758g 39% 506C 443g 55%
13% 37C 776C 693g 53%
507C 249C 314C 334C 943C
-
1% 156C 96% 550g 0%
70% 26% 735C 515g 934g
96% 3% 0% 355g 18g
162C 51% 43% 429C 0%
260C 93g 28% 11% 569g
733g 832g 38% 21% 17%
727g 188g 268C 62% 448C
183g 157g 241g 809C 81g
990C 196g 87% 15g 228g
51% 752C 6% 907g 421g
703g 19% 584g 17% 510g
125C 95% 27C 708C 4%
197g 949C 61% 321g 9%
79% 14% 61C 559C 380C
293C 274C 79% 723C 47C
528C 14% 545g 369g 299g
312C 67g 76% 997C 793g
261C 35% 526g 55% 5C
195g 84% 363g 288C 4%
951g 17% 43% 11% 733C
406g 434g 882C 59% 562C
363C 2C 18% 981g 69%
697g 47% 477C 30% 10%
676g 40% 42% 422g 998C
581C 742g 60% 14% 1%
76% 563g 387C 9% 720C
93% 13g 858g 1% 480C
18% 35% 2% 277C 43%
61% 20% 881C 5% 9C
35% 534C 391C 6% 377C
614g 562g 60% 226g 4%
90% 810C 2% 2% 3%
252C 41% 913g 883C 88g
729C 960C 993C 204g 61C
75% 498g 616g 5% 719C
29% 61% 2% 7C 964g
10% 150C 87% 2% 714g
67% 21% 530C 118g 2%
68% 513g 826g 421C 17%
81% 430C 309C 1% 662g
11% 0% 246C 198g 628C
906g 425C 938g 747C 437g
96C 60% 501C 14% 19%
774g 689C 959g 78g 356g
30C 958C 86% 7% 255C
610C 566g 30% 53% 848g
37% 107g 55% 866g 7%
624g 189g 13% 831C 413C
20% 142C 446C 26% 48%
14% 60% 364C 839g 828g
57% 76C 739C 274C 666C
8C 63C 225C 26% 55%
85% 964g 292C 76C 263C
601g 709g 67% 520C 8%
81g 525C 881g 710g 282C
935C 34% 9% 932C 561g
115g 615g 92% 273g 129g
251C 22% 59C 527g 716C
84% 482g 254C 900C 177g
33% 46% 6% 436C 2%
737g 127C 260C 720g 7%
301C 439C 165g 103C 584g
78% 925C 18C 22g 12%
371C 90g 689g 389C 841g
45% 392C 630g 54% 975C
366g 287C 8% 57% 14%
88% 102C 11% 0% 0%
477g 17% 739C 780g 885g
743C 61% 14% 16% 5%
8% 85% 6% 406C 513C
77% 63g 212g 10% 928g
100C 85% 406g 83C 414g
657g 330g 85% 10% 0%
555g 42% 35g 125C 847C
67C 28% 9% 436g 986C
82% 425C 8% 0% 857C
33% 771C 13% 16% 6%
617C 781C 666g 585g 586g
656C 567C 234C 695g 398C
-
183g 609g 53g 93% 709g
883g 156C 89% 5% 589g
99% 413g 96g 680g 428g
438g 551g 573C 166C 23%
193g 299g 92% 1% 283g
156g 805C 19% 599g 1%
33% 22% 44C 594C 734C
438g 27% 33% 829C 734C
81% 0% 15% 40C 618C
143g 890C 341C 401C 849C
4% 416g 729g 3% 437g
671g 779C 57% 440C 707C
195g 15% 335g 724C 38%
225C 12% 26% 743g 500g
622C 950C 93% 697g 808g
696g 54% 39% 971C 679C
38% 265g 249C 36% 633C
524C 267C 10g 686C 397C
464g 850g 57% 26% 808C
95% 947C 200C 461g 188g
188C 350C 539C 567g 72%
71g 11% 18% 564C 601g
362g 622C 162g 506g 619g
717g 11% 27% 56% 5%
0% 196C 24% 283C 526g
565g 134C 550g 67C 271g
456C 846g 12% 570g 997C
205g 800C 112C 57% 918g
632C 375C 375g 66% 9%
481g 82g 62g 41% 791g
34% 339g 19% 11g 199C
95% 765g 0% 500g 287g
458g 682g 447C 86C 433C
31% 579g 854C 574g 42C
147C 605C 759g 108C 975g
51% 515g 677g 283g 256g
346C 636C 10% 959C 59g
58% 890C 822C 20% 613g
78% 135C 7% 11% 633g
654C 508g 608C 484C 4%
68% 102g 330g 811g 560C
2% 542C 136C 23% 431C
818C 671C 80C 998g 198g
460C 68% 928C 840C 303C
64% 990C 547C 551C 828g
594C 420g 30% 14% 64C
434g 212g 40% 5C 880C
384C 17C 455g 205g 71%
41% 737g 31g 16% 147g
22g 906C 635g 727g 978C
0% 4g 41% 235g 42%
384g 24% 39% 5% 836C
18% 968g 797g 223g 948C
-
249C 840C 9% 506g 821g
-
683g 13% 7% 15% 841C
447g 90% 8% 474g 166C
67% 151g 18% 444C 975C
295g 2% 34% 666C 136g
31% 670g 36% 786g 206C
69% 23% 812g 622C 437g
670g 9% 593C 123C 492C
119C 46% 96g 281g 141g
539C 362C 982C 864C 783C
907g 34g 677g 95% 4%
411g 563g 852g 93C 46%
73% 749g 767C 862g 40g
285C 451g 815C 51% 281g
250g 953g 354g 176g 642C
386C 11% 303g 570g 75%
163g 62% 619C 18% 392g
513g 124C 59% 18% 630C
814g 586g 855g 108C 407C
40% 422g 8% 433C 664g
766g 172C 48% 720C 371C
646g 70C 64% 473C 31%
847g 2% 8% 662g 377C
65% 14% 385g 320C 937C
160g 78% 167g 212g 570C
521C 18% 38g 64% 6%
32% 238g 10% 554C 433C
727g 427g 527g 803g 588C
710C 143g 85% 7% 2%
47% 492g 28% 11% 241g
66g 39% 277g 792g 458g
6% 22% 62% 482C 835g
918C 443C 921C 617g 333g
981C 531C 96% 891C 241C
73% 871C 348C 703C 8%
55% 28% 406C 10% 5%
233C 46% 134g 15% 9%
80C 17% 480g 876g 42%
74g 0% 858C 294C 81C
915g 589g 31% 1% 37%
226g 0% 188g 112C 16%
69% 23% 989C 728g 653g
910C 477g 781C 575C 69%
575g 66% 395g 760C 25%
75% 218C 614g 483g 843g
505C 56C 605C 94% 2%
264C 63% 729C 22% 69C
17% 152C 72% 894C 3%
67% 843C 32% 0% 0%
67% 11% 831g 892g 615g
28% 66% 419C 999g 3%
3% 484C 780C 750g 793C
837g 734C 694g 656g 85%
47% 707g 46g 360g 144g
211C 549g 49% 48% 128g
33g 694g 848C 37% 13%
832g 640g 83% 11% 3%
292C 17% 694C 876C 82%
617g 21% 421g 69% 378g
285C 658g 101C 611C 337g
41g 41% 176C 476g 322C
8% 695C 46% 251C 927C
142C 543C 37% 794C 820g
795g 466g 72% 227g 398g
594g 40% 47% 758g 207g
-
1% 366g 88% 648C 535C
87% 4% 472g 54C 342g
619g 95% 387C 19g 500C
53% 11% 55g 135C 0%
187g 418g 55C 81% 17%
65g 923C 795g 506g 892g
223C 912g 70g 282g 74%
79% 3% 698g 0% 970g
554g 95% 600C 4% 0%
816g 682g 68% 7% 11%
677g 34% 941g 640g 515g
394C 98% 546C 1% 0%
70C 327C 305C 856g 98%
30% 461C 754g 901C 640C
356g 486C 177C 656g 70%
4% 641g 244g 79% 354g
73% 352g 20% 2% 204C
370C 68% 11% 241g 659g
40% 156C 20% 279C 205g
57% 170g 717C 4% 36%
43% 885C 404C 961C 55%
61% 241C 103C 921C 672C
720C 9% 995C 466C 88g
39% 192C 39% 534C 6%
86% 10% 480g 120C 2%
880g 478C 89% 367g 588C
52C 790g 408C 544g 751C
257C 505C 916C 233C 739C
32% 854C 36% 835C 19%
86g 155g 203g 518g 10%
294g 158C 161g 785C 14%
254g 95% 61C 256g 686g
672g 419g 353C 95% 4%
93% 124C 3% 782C 1%
831C 647C 100g 734C 606C
19% 545g 810g 265g 121C
